standardized_symbol,exchange,_in_t1,_in_t2,_in_t3,_in_t4,_in_t5,_in_t6,_in_t7,_in_t8,_in_t9,confidence_score,lot,halt_reason,sic_code,status,primary_listing,currency,share_class_figi,share_class_shares_outstanding,locale,market_capital_1,margin_requirement_short,sector,name,scalerevenue,earnings_announcement,location,shares_outstanding,figi,type,isin,country,sic_industry,composite_symbol,margin_requirement_long,homepage_url,weighted_shares_outstanding,industry,symbol,scalemarketcap,description,shortable,tradable,short_sale_restricted,composite_figi,sic_description,etf,fama_industry,easy_to_borrow,marginable,maintenance_margin_requirement,branding,cusips,market_capital_2,fama_sector,sic_sector,cik,na_symbol,na_name,na_status,na_lot,na_etf,ny_symbol,ny_status,ny_short_sale_restricted,ny_halt_reason,it_symbol,it_type,it_name,it_currency,it_composite_symbol,it_figi,it_composite_figi,it_share_class_figi,it_primary_listing,ed_symbol,ed_type,ed_name,ed_country,ed_currency,ed_isin,pl_symbol,pl_type,pl_name,pl_locale,pl_status,pl_currency,pl_composite_figi,pl_share_class_figi,pl_share_class_shares_outstanding,pl_cik,pl_sic_code,pl_sic_description,pl_location,pl_market_capital_2,pl_description,pl_homepage_url,pl_branding,pl_weighted_shares_outstanding,sh_symbol,sh_type,sh_name,sh_currency,sh_location,sh_cusips,sh_sic_code,sh_sic_sector,sh_sic_industry,sh_fama_sector,sh_fama_industry,sh_sector,sh_industry,sh_scalemarketcap,sh_scalerevenue,sh_cik,sh_homepage_url,fp_symbol,fp_type,fp_name,fp_market_capital_1,fp_earnings_announcement,fp_shares_outstanding,av_symbol,av_name,av_status,al_symbol,al_name,al_status,al_tradable,al_marginable,al_maintenance_margin_requirement,al_margin_requirement_long,al_margin_requirement_short,al_shortable,al_easy_to_borrow
AACTWT,XNYS,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,USD,,,,,,,Ares Acquisition Corporation II WT,,,,,,EQS,KYG330331201,USA,,,,,,,AACT-WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AACT-WT,EQS,Ares Acquisition Corporation II WT,USA,USD,KYG330331201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACUN,XNYS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,608548950.0,,,Ares Acquisition Corporation,,2023-03-31T00:00:00.000+0000,,56295000.0,,EQS,,,,,,,,,AAC-UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAC-UN,EQS,Ares Acquisition Corporation,608548950.0,2023-03-31T00:00:00.000+0000,56295000.0,,,,,,,,,,,,,
AACWT,XNYS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,761820462.0,,,Ares Acquisition Corporation,,2023-03-31T00:00:00.000+0000,,1209238828.0,,EQS,,,,,,,,,AAC-WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAC-WT,EQS,Ares Acquisition Corporation,761820462.0,2023-03-31T00:00:00.000+0000,1209238828.0,,,,,,,,,,,,,
AADBX,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,105149018.0,,,American Beacon Balanced Fund R5 Class,,,,6796963.0,,TRT,,,,,,,,,AADBX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AADBX,TRT,American Beacon Balanced Fund R5 Class,105149018.0,,6796963.0,,,,,,,,,,,,,
AADEX,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,3290246410.0,,,American Beacon Large Cap Value R5,,,,114125786.0,,TRT,,,,,,,,,AADEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AADEX,TRT,American Beacon Large Cap Value R5,3290246410.0,,114125786.0,,,,,,,,,,,,,
AAFTX,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,51907274318.0,,,American Funds 2035 Target Date Retirement Fund,,,,2456567644.0,,FND,,,,,,,,,AAFTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAFTX,FND,American Funds 2035 Target Date Retirement Fund,51907274318.0,,2456567644.0,,,,,,,,,,,,,
AAGPX,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,3290829326.0,,,American Beacon Large Cap Value Fund Investor Class,,,,133556385.0,,TRT,,,,,,,,,AAGPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAGPX,TRT,American Beacon Large Cap Value Fund Investor Class,3290829326.0,,133556385.0,,,,,,,,,,,,,
AAGR,XNAS,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,USD,,,,,,,African Agriculture Holdings Inc.,,,,,,EQS,US00792J1007,USA,,,,,,,AAGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAGR,EQS,African Agriculture Holdings Inc.,USA,USD,US00792J1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAGTX,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,48143171567.0,,,American Funds 2040 Target Date Retirement Fund Class A,,,,2087735107.0,,TRT,,,,,,,,,AAGTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAGTX,TRT,American Funds 2040 Target Date Retirement Fund Class A,48143171567.0,,2087735107.0,,,,,,,,,,,,,
AAHTX,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,41984893350.0,,,American Funds 2045 Trgt Date Retire A,,,,1758897920.0,,TRT,,,,,,,,,AAHTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAHTX,TRT,American Funds 2045 Trgt Date Retire A,41984893350.0,,1758897920.0,,,,,,,,,,,,,
AAIC,XNYS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,137081868.0,,,Arlington Asset Investment Corp.,,2023-11-13T00:00:00.000+0000,,28322700.0,,EQS,,,,,,,,,AAIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAIC,EQS,Arlington Asset Investment Corp.,137081868.0,2023-11-13T00:00:00.000+0000,28322700.0,,,,,,,,,,,,,
AAICPB,XNYS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,137081866.0,,,Arlington Asset Investment Corp.,,2023-03-31T00:00:00.000+0000,,6752768.0,,EQS,,,,,,,,,AAIC-PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAIC-PB,EQS,Arlington Asset Investment Corp.,137081866.0,2023-03-31T00:00:00.000+0000,6752768.0,,,,,,,,,,,,,
AAICPC,XNYS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,137081848.0,,,Arlington Asset Investment Corp.,,2023-03-31T00:00:00.000+0000,,5583782.0,,EQS,,,,,,,,,AAIC-PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAIC-PC,EQS,Arlington Asset Investment Corp.,137081848.0,2023-03-31T00:00:00.000+0000,5583782.0,,,,,,,,,,,,,
