standardized_symbol,exchange,_in_t1,_in_t2,_in_t3,_in_t4,_in_t5,_in_t6,_in_t7,_in_t8,_in_t9,confidence_score,primary_listing,name,sic_sector,figi,scalemarketcap,tradable,sic_description,market_capital_2,earnings_announcement,type,symbol,composite_symbol,cik,margin_requirement_long,cusips,share_class_figi,currency,weighted_shares_outstanding,scalerevenue,halt_reason,homepage_url,isin,lot,fama_sector,short_sale_restricted,margin_requirement_short,sic_code,description,industry,sic_industry,status,location,sector,market_capital_1,shortable,easy_to_borrow,etf,country,share_class_shares_outstanding,locale,fama_industry,maintenance_margin_requirement,branding,composite_figi,marginable,shares_outstanding,na_symbol,na_name,na_status,na_lot,na_etf,ny_symbol,ny_status,ny_short_sale_restricted,ny_halt_reason,it_symbol,it_type,it_name,it_currency,it_composite_symbol,it_figi,it_composite_figi,it_share_class_figi,it_primary_listing,ed_symbol,ed_type,ed_name,ed_country,ed_currency,ed_isin,pl_symbol,pl_type,pl_name,pl_locale,pl_status,pl_currency,pl_composite_figi,pl_share_class_figi,pl_share_class_shares_outstanding,pl_cik,pl_sic_code,pl_sic_description,pl_location,pl_market_capital_2,pl_description,pl_homepage_url,pl_branding,pl_weighted_shares_outstanding,sh_symbol,sh_type,sh_name,sh_currency,sh_location,sh_cusips,sh_sic_code,sh_sic_sector,sh_sic_industry,sh_fama_sector,sh_fama_industry,sh_sector,sh_industry,sh_scalemarketcap,sh_scalerevenue,sh_cik,sh_homepage_url,fp_symbol,fp_type,fp_name,fp_market_capital_1,fp_earnings_announcement,fp_shares_outstanding,av_symbol,av_name,av_status,al_symbol,al_name,al_status,al_tradable,al_marginable,al_maintenance_margin_requirement,al_margin_requirement_long,al_margin_requirement_short,al_shortable,al_easy_to_borrow
AAHTX,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,American Funds 2045 Trgt Date Retire A,,,,,,,,TRT,AAHTX,,,,,,,,,,,,,,,,,,,,,,,41984893350.0,,,,,,,,,,,,1758897920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAHTX,TRT,American Funds 2045 Trgt Date Retire A,41984893350.0,,1758897920.0,,,,,,,,,,,,,
AAIC,XNYS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,Arlington Asset Investment Corp.,,,,,,,2023-11-13T00:00:00.000+0000,EQS,AAIC,,,,,,,,,,,,,,,,,,,,,,,137081868.0,,,,,,,,,,,,28322700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAIC,EQS,Arlington Asset Investment Corp.,137081868.0,2023-11-13T00:00:00.000+0000,28322700.0,,,,,,,,,,,,,
AAICPB,XNYS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,Arlington Asset Investment Corp.,,,,,,,2023-03-31T00:00:00.000+0000,EQS,AAIC-PB,,,,,,,,,,,,,,,,,,,,,,,137081866.0,,,,,,,,,,,,6752768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAIC-PB,EQS,Arlington Asset Investment Corp.,137081866.0,2023-03-31T00:00:00.000+0000,6752768.0,,,,,,,,,,,,,
AAICPC,XNYS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,Arlington Asset Investment Corp.,,,,,,,2023-03-31T00:00:00.000+0000,EQS,AAIC-PC,,,,,,,,,,,,,,,,,,,,,,,137081848.0,,,,,,,,,,,,5583782.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAIC-PC,EQS,Arlington Asset Investment Corp.,137081848.0,2023-03-31T00:00:00.000+0000,5583782.0,,,,,,,,,,,,,
AAIDX,XNAS,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,Axonic Alternative Income Fund,,,,,,,,FND,AAIDX,,,,,,USD,,,,,US05465F1030,,,,,,,,,,,,0.0,,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,AAIDX,FND,Axonic Alternative Income Fund,USA,USD,US05465F1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAIDX,FND,Axonic Alternative Income Fund,0.0,,,,,,,,,,,,,,,
AAIEX,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,American Beacon International Equity Fund,,,,,,,,FND,AAIEX,,,,,,,,,,,,,,,,,,,,,,,569135202.0,,,,,,,,,,,,30160848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAIEX,FND,American Beacon International Equity Fund,569135202.0,,30160848.0,,,,,,,,,,,,,
AAIN,XNYS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,Arlington Asset Investment Corp,,,,,,,2023-03-31T00:00:00.000+0000,EQS,AAIN,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAIN,EQS,Arlington Asset Investment Corp,0.0,2023-03-31T00:00:00.000+0000,0.0,,,,,,,,,,,,,
AAIPX,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,American Beacon International Equity Fund Investor Class,,,,,,,,TRT,AAIPX,,,,,,,,,,,,,,,,,,,,,,,569083418.0,,,,,,,,,,,,30448551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAIPX,TRT,American Beacon International Equity Fund Investor Class,569083418.0,,30448551.0,,,,,,,,,,,,,
AAISX,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,American Beacon International Equity Fund Advisor Class,,,,,,,,TRT,AAISX,,,,,,,,,,,,,,,,,,,,,,,569014209.0,,,,,,,,,,,,29210175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAISX,TRT,American Beacon International Equity Fund Advisor Class,569014209.0,,29210175.0,,,,,,,,,,,,,
AALTX,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,American Funds 2050 Trgt Date Retire A,,,,,,,,TRT,AALTX,,,,,,,,,,,,,,,,,,,,,,,37978358423.0,,,,,,,,,,,,1614039882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AALTX,TRT,American Funds 2050 Trgt Date Retire A,37978358423.0,,1614039882.0,,,,,,,,,,,,,
